# Party Region Candidate Twitter
British National Party, north-west, Kay Pollitt, 
British National Party, north-west, Derek Adams, 
British National Party, north-west, David O'Loughlin, 
British National Party, eastern, Richard Perry, 
British National Party, eastern, Christopher Livingstone, 
British National Party, eastern, Mark Burmby, 
British National Party, eastern, Paul Hooks, 
British National Party, eastern, Stephen Smith, 
British National Party, eastern, Philip Howell, 
British National Party, eastern, Michael Braun, 
British National Party, scotland, Kenneth McDonald, 
British National Party, scotland, David Orr, 
British National Party, scotland, Victoria McKenzie, 
British National Party, scotland, Angus Matthys, 
British National Party, scotland, Paul Stafford, 
British National Party, scotland, Stacey Fleming, 
British National Party, east-midlands, Cathy Duffy, 
British National Party, east-midlands, Robert West, 
British National Party, east-midlands, Bob Brindley, 
British National Party, east-midlands, Geoffrey Dickens, 
British National Party, east-midlands, Paul Hilliard, 
British National Party, south-east, John Robinson, 
British National Party, south-east, Gavin Miller, 
British National Party, south-east, Eric Elliott, 
British National Party, south-east, John Moore, 
British National Party, south-east, Alwyn Deacon, 
British National Party, south-east, Anthony Bamber, 
British National Party, south-east, Brenda Waterhouse, 
British National Party, south-east, Mark Jones, 
British National Party, south-east, Jack Renshaw, 
British National Party, south-east, Yvonne Deacon, 
British National Party, london, Stephen Squire, 
British National Party, london, Donna Treanor, 
British National Party, london, Paul Sturdy, 
British National Party, london, John Clarke, 
British National Party, london, David Furness, 
British National Party, london, Cliff Le May, 
British National Party, london, Ray Underwood, 
British National Party, london, Kevin Lazell, 
British National Party, wales, Mike Whitby, 
British National Party, wales, Laurence Dalriada, 
British National Party, wales, Jean Griffin, 
British National Party, wales, Gary Tumulty, 
British National Party, south-west, Adrian Romilly, 
British National Party, south-west, Cliff Jones, 
British National Party, south-west, Arnold Brindle, 
British National Party, south-west, Wayne Peter Tomlinson, 
British National Party, south-west, Andrew Webster, 
British National Party, south-west, Giuseppe De Santis, 
Yorkshire First, yorkshire-and-the-humber, Stewart Arnold, 
Yorkshire First, yorkshire-and-the-humber, Richard Carter, 
Yorkshire First, yorkshire-and-the-humber, Richard Honnoraty, 
Liberty GB, south-east, Paul Weston, paulwestonlibgb
Liberty GB, south-east, Enza Ferreri, EnzaFerreri
Liberty GB, south-east, Jack Buckby, jackbuckby
Conservative Party, north-east, Martin Callanan, 
Conservative Party, north-east, Ben Houchen, BenHouchen
Conservative Party, north-east, Andrew Lee, 
Conservative Party, yorkshire-and-the-humber, Timothy Kirkhope, TimKirkhopeMEP
Conservative Party, yorkshire-and-the-humber, Alex Story, 
Conservative Party, yorkshire-and-the-humber, John Procter, 
Conservative Party, yorkshire-and-the-humber, Carolyn Abbott, CarolynAbbottRe
Conservative Party, yorkshire-and-the-humber, Michael Naughton, 
Conservative Party, yorkshire-and-the-humber, Ryan Stephenson, 
Conservative Party, eastern, Vicky Ford, vickyford
Conservative Party, eastern, Geoffrey van Orden, 
Conservative Party, eastern, David Campbell Bannerman, DCBMEP
Conservative Party, eastern, John Flack, GiveEuropeFlack
Conservative Party, eastern, Tom Hunt, cllrtomhunt1
Conservative Party, eastern, Margaret Simons, Margaret_Simons
Conservative Party, eastern, Jonathan Collett, JonCollett
Conservative Party, north-west, Jacqueline Foster, jfostermep
Conservative Party, north-west, Sajjad Karim, SHKMEP
Conservative Party, north-west, Kevin Beaty, kevcow
Conservative Party, north-west, Deborah Dunleavy, 
Conservative Party, north-west, Joe Barker-Willis, JMVBarker
Conservative Party, north-west, Daniel Hamilton, danielrhamilton
Conservative Party, north-west, Chris Whiteside, ChrisWhiteside3
Conservative Party, north-west, James Walsh, 
Conservative Party, west-midlands, Philip Bradbourn, 
Conservative Party, west-midlands, Anthea McIntyre, anthea_mcintyre
Conservative Party, west-midlands, Daniel Dalton, 
Conservative Party, west-midlands, Michael Burnett, 
Conservative Party, west-midlands, Sibby Buckle, sibbuc
Conservative Party, west-midlands, Dan Sames, DanSames
Conservative Party, west-midlands, Avern Alex, 
Conservative Party, scotland, Ian Duncan, IanDuncan2014
Conservative Party, scotland, Belinda Don, 
Conservative Party, scotland, Nosheena Mobarik, 
Conservative Party, scotland, Jamie Gardiner, 
Conservative Party, scotland, Iain McGill, IainMcGill
Conservative Party, scotland, Stuart McIntyre, stuartgmcintyre
Conservative Party, east-midlands, Emma McClarkin, EmmaMcClarkin
Conservative Party, east-midlands, Andrew Lewer, 
Conservative Party, east-midlands, Rupert Matthews, RupertMatthews
Conservative Party, east-midlands, Stephen Castens, 
Conservative Party, east-midlands, Brendan Clarke-Smith, 
Conservative Party, london, Syed Kamall, SyedKamall
Conservative Party, london, Charles Tannock, CharlesTannock
Conservative Party, london, Marina Yannakoudakis, MarinaMEP
Conservative Party, london, Caroline Attfield, 
Conservative Party, london, Lynne Hack, 
Conservative Party, london, Sheila Lawlor, 
Conservative Party, london, Glyn Chambers, 
Conservative Party, london, Annesley Abercorn, 
Conservative Party, south-east, Daniel Hannan, DanHannanMEP
Conservative Party, south-east, Nirj Deva, NirjDeva
Conservative Party, south-east, Richard Ashworth, RichardAshMEP
Conservative Party, south-east, Marta Andreasen, mandreasen
Conservative Party, south-east, Richard Robinson, RRsoutheast
Conservative Party, south-east, Graham Knight, GrahamKNIGHT2
Conservative Party, south-east, Julie Marson, JulieMarson
Conservative Party, south-east, George Jeffrey, 
Conservative Party, south-east, Rory Love, 
Conservative Party, south-east, Adrian Pepper, thepepperview
Conservative Party, northern-ireland, Mark Brotherston, MarkBrotherston
Conservative Party, wales, Kay Swinburne, 
Conservative Party, wales, Aled Davies, Aled_Glanogeu
Conservative Party, wales, Dan Boucher, Dan4SwanseaEast
Conservative Party, wales, Richard Hopkin, RichardHopkin
Conservative Party, south-west, Ashley Fox, Ashleyfoxmep
Conservative Party, south-west, Julie Girling, juliegirling
Conservative Party, south-west, James Cracknell, JamesCracknell
Conservative Party, south-west, Georgina Butler, gbdiplo
Conservative Party, south-west, Sophie Swire, SwireSophie
Conservative Party, south-west, Melissa Maynard, mmaynard4mep
Britain First, wales, Paul Golding, 
Britain First, wales, Anthony Golding, 
Britain First, wales, Christine Smith, 
Britain First, wales, Anne Elstone, 
Britain First, scotland, James Dowson, 
Britain First, scotland, John Randall, 
Britain First, scotland, Jayda Fransen, 
Britain First, scotland, Geoffrey Clynch, 
Britain First, scotland, Margaret Clynch, 
Britain First, scotland, Jane Shepherd, 
Socialist Party of Great Britain, south-east, Dave Chesham, whichfinder
Socialist Party of Great Britain, south-east, Rob Cox, 
Socialist Party of Great Britain, south-east, Les Courtney, 
Socialist Party of Great Britain, south-east, Sean Deegan, thewealthatom
Socialist Party of Great Britain, south-east, Max Hess, 
Socialist Party of Great Britain, south-east, Claudia Hogg-Blake, 
Socialist Party of Great Britain, south-east, Danny Lambert, 
Socialist Party of Great Britain, south-east, Andy Matthews, 
Socialist Party of Great Britain, south-east, Howard Pilott, 
Socialist Party of Great Britain, south-east, Mike Young, 
Socialist Party of Great Britain, wales, Brian Johnson, 
Socialist Party of Great Britain, wales, Richard Cheney, 
Socialist Party of Great Britain, wales, Ed Blewitt, 
Socialist Party of Great Britain, wales, Howard Moss, 
Labour Party, north-east, Judith Kirton-Darling, Jude_KD
Labour Party, north-east, Paul Brannen, PaulBrannenNE
Labour Party, north-east, Jayne Shotton, jshttn
Labour Party, yorkshire-and-the-humber, Linda McAvan, LindaMcAvanMEP
Labour Party, yorkshire-and-the-humber, Richard Corbett, RichardC2014
Labour Party, yorkshire-and-the-humber, Eleanor Tunnicliffe, ejtunnicliffe
Labour Party, yorkshire-and-the-humber, Asghar Khan, asgharlab
Labour Party, yorkshire-and-the-humber, Helen Mirfin-Boukouris, MirfinBoukouris
Labour Party, yorkshire-and-the-humber, Darren Hughes, darrenjlhughes
Labour Party, eastern, Richard Howitt, richardhowitt
Labour Party, eastern, Alex Mayer, alexlmayer
Labour Party, eastern, Sandy Martin, sandyofipswich
Labour Party, eastern, Bhavna Joshi, BhavnaJoshi
Labour Party, eastern, Paul Bishop, 
Labour Party, eastern, Jane Basham, Jane_Basham
Labour Party, eastern, Chris Ostrowski, 
Labour Party, north-west, Theresa Griffin, TheresaG_EU
Labour Party, north-west, Afzal Khan, cllrakhan
Labour Party, north-west, Julie Ward, julie4nw
Labour Party, north-west, Wajid Khan, wajid4europe
Labour Party, north-west, Angeliki Stogia, Angeliki4eu
Labour Party, north-west, Steve Carter, SteveCarter001
Labour Party, north-west, Pascale Lamb, PascaleLamb
Labour Party, north-west, Nick Parnell, 
Labour Party, west-midlands, Neena Gill, neenaformep
Labour Party, west-midlands, Siôn Simon, sionsimon
Labour Party, west-midlands, Lynda Waltho, LW4WM
Labour Party, west-midlands, Ansar Ali Khan, ansar_ali_khan
Labour Party, west-midlands, Olwen Hamer, OlwenHamer
Labour Party, west-midlands, Tony Ethapemi, 
Labour Party, west-midlands, Philippa Roberts, 
Labour Party, scotland, David Martin, davidmartinmep
Labour Party, scotland, Catherine Stihler, C_Stihler_MEP
Labour Party, scotland, Derek Munn, Derek4Europe
Labour Party, scotland, Katrina Murray, katrinamurray71
Labour Party, scotland, Asim Khan, asim_rel
Labour Party, scotland, Kirsty O'Brien, Coisty_OB
Labour Party, east-midlands, Glenis Willmott, GlenisWillmott
Labour Party, east-midlands, Rory Palmer, Rory_Palmer
Labour Party, east-midlands, Linda Woodings, LindaWoodings
Labour Party, east-midlands, Khalid Hadadi, 
Labour Party, east-midlands, Nicki Brooks, NickiBrooksx
Labour Party, south-east, Anneliese Dodds, AnnelieseDodds
Labour Party, south-east, John Howarth, johnhowarth1958
Labour Party, south-east, Emily Westley, emilywestley
Labour Party, south-east, James Swindlehurst, jamesswindy
Labour Party, south-east, Farah Nazeer, FarahNazeer
Labour Party, south-east, James Watkins, watkins_js
Labour Party, south-east, Maggie Hughes, EUMaggie_Hughes
Labour Party, south-east, Christopher Clark, 
Labour Party, south-east, Karen Landles, karenlandles
Labour Party, south-east, Tracey Hill, 
Labour Party, london, Claude Moraes, ClaudeMoraesMEP
Labour Party, london, Mary Honeyball, maryhoneyball
Labour Party, london, Lucy Anderson, Lucy4MEP
Labour Party, london, Seb Dance, SebDance
Labour Party, london, Ivana Bartoletti, IvanaBartoletti
Labour Party, london, Kamaljeet Jandu, KamaljeetJandu
Labour Party, london, Sanchia Alasia, sanchia4europe
Labour Party, london, Andrea Biondi, biondi4europe
Labour Party, wales, Derek Vaughan, derekvaughan
Labour Party, wales, Jayne Bryant, 
Labour Party, wales, Alex Thomas, 
Labour Party, wales, Christina Rees, ReesEurope
Labour Party, south-west, Clare Moody, ClareMMoody
Labour Party, south-west, Glyn Ford, 
Labour Party, south-west, Ann Reeder, SomersetAnn
Labour Party, south-west, Hadleigh Roberts, HadleighRoberts
Labour Party, south-west, Jude Robinson, Juderobinson
Labour Party, south-west, Junab Ali, junabali
4 Freedoms Party, london, Dirk Hazell, 
4 Freedoms Party, london, NoelleAnne O’Sullivan, 
4 Freedoms Party, london, Geoff Gibas, 
4 Freedoms Party, london, Aline Doussin, 
4 Freedoms Party, london, Andrew Bell, 
4 Freedoms Party, london, Deborah Phillips, 
4 Freedoms Party, london, Royston Flude, 
4 Freedoms Party, london, Brendan Donnelly, 
Harmony Party, south-east, Terry leach, 
Harmony Party, south-east, Raymond Crick, 
Harmony Party, london, David Vincent, 
Harmony Party, east-midlands, Steve Ward, 
Harmony Party, west-midlands, Reg Mahrra, 
Animal Welfare Party, london, Vanessa Hudson, 
Animal Welfare Party, london, Alexander Bourke, 
Animal Welfare Party, london, Kirsteen Williamson-Guinn, 
Animal Welfare Party, london, Andrew Knight, 
Animal Welfare Party, london, Dimple Patel, 
Animal Welfare Party, london, Meg Mathews, 
Animal Welfare Party, london, Guy Dessoy, 
Animal Welfare Party, london, Ranjan Joshi, 
Democratic Unionist Party, northern-ireland, Diane Dodds, DianeDoddsMEP
Scottish Green Party, scotland, Maggie Chapman, MaggieEdinburgh
Scottish Green Party, scotland, Chas Booth, CllrChasBooth
Scottish Green Party, scotland, Grace Murray, 
Scottish Green Party, scotland, Alastair Whitelaw, 
Scottish Green Party, scotland, Anne Thomas, 
Scottish Green Party, scotland, Steen Parish, steenparish
The Peace Party - Non-violence, Justice, Environment, south-east, John Morris, 
The Peace Party - Non-violence, Justice, Environment, south-east, Jim Duggan, 
The Peace Party - Non-violence, Justice, Environment, south-east, Julie Roxburgh, 
The Peace Party - Non-violence, Justice, Environment, south-east, Jeff Bolam, 
The Peace Party - Non-violence, Justice, Environment, south-east, Geoff Pay, 
The Peace Party - Non-violence, Justice, Environment, south-east, David Brown, 
The Peace Party - Non-violence, Justice, Environment, south-east, Keith Scott, 
The Peace Party - Non-violence, Justice, Environment, south-east, Imdad Hussain, 
The Peace Party - Non-violence, Justice, Environment, south-east, Munim Choudhury, 
The Peace Party - Non-violence, Justice, Environment, south-east, Charles Wilkinson, 
Traditional Unionist Voice, northern-ireland, Jim Allister, JimAllister
Ulster Unionist Party, northern-ireland, Jim Nicholson, JNicholsonMEP
We Demand a Referendum, west-midlands, Nikki Sinclaire, NSinclaireMEP
We Demand a Referendum, west-midlands, Andy Adris, 
We Demand a Referendum, west-midlands, Linda Brown, 
We Demand a Referendum, west-midlands, David Bennett, 
We Demand a Referendum, west-midlands, Judith Smart, 
We Demand a Referendum, west-midlands, Thomas Reid, 
We Demand a Referendum, west-midlands, Amanda Wilson, 
UKIP, north-east, Jonathan Arnott, JonathanArnott
UKIP, north-east, Richard Elvin, globalrichard
UKIP, north-east, Philip Broughton, 
UKIP, yorkshire-and-the-humber, Jane Collins, Jane4ukip
UKIP, yorkshire-and-the-humber, Amjad Bashir, 
UKIP, yorkshire-and-the-humber, Mike Hookem, Mike_Hookem
UKIP, yorkshire-and-the-humber, Gary Shores, 
UKIP, yorkshire-and-the-humber, Jason Smith, JasonSmithUKIP
UKIP, yorkshire-and-the-humber, Anne Murgatroyd, 
UKIP, eastern, Patrick O'Flynn, 
UKIP, eastern, Stuart Agnew, 
UKIP, eastern, Tim Aker, Tim_Aker
UKIP, eastern, Michael Heaver, Michael_Heaver
UKIP, eastern, Mick McGough, mickmcgough
UKIP, eastern, Andy Monk, 
UKIP, eastern, Mark Hughes, MarkJHughes
UKIP, north-west, Paul Nuttall, paulnuttallukip
UKIP, north-west, Louise Bours, 
UKIP, north-west, Steven Woolfe, Steven_Woolfe
UKIP, north-west, Shneur Odze, ShneurOdzeUKIP
UKIP, north-west, Lee Slaughter, 
UKIP, north-west, Simon Noble, NibsNoble
UKIP, north-west, Peter Harper, 
UKIP, north-west, John Stanyer, 
UKIP, west-midlands, Jill Seymour, JSeymourUKIP
UKIP, west-midlands, James Carver, JamesJimCarver
UKIP, west-midlands, Bill Etheridge, milroy666
UKIP, west-midlands, Phil Henrick, philhenrick
UKIP, west-midlands, Michael Wrench, 
UKIP, west-midlands, Michael Green, MikeGreenUKIP
UKIP, west-midlands, Lyndon Jones, 
UKIP, scotland, David Coburn, DavidCoburnUKip
UKIP, scotland, Kevin Newton, KevinNewtonUKIP
UKIP, scotland, Otto Inglis, OttoInglis
UKIP, scotland, Denise Baykal, UKIPCowdenbeath
UKIP, scotland, Hugh Hatrick, hughhatrick
UKIP, scotland, Malcolm Mackay, 
UKIP, east-midlands, Roger Helmer, RogerHelmerMEP
UKIP, east-midlands, Margot Parker, MargotLJParker
UKIP, east-midlands, Jonathan Bullock, 
UKIP, east-midlands, Nigel Wickens, NigelWickens
UKIP, east-midlands, Barry Mahoney, 
UKIP, london, Gerard Batten, GerardBattenMEP
UKIP, london, Paul Oakley, PaulJamesOakley
UKIP, london, Elizabeth Jones, UKIPbrixtonHill
UKIP, london, Lawrence Webb, UKIPWebb4London
UKIP, london, Alastair McFarlane, 
UKIP, london, Anthony Brown, libertariantony
UKIP, london, Andrew McNeilis, andrewmcneilis
UKIP, london, Peter Whittle, 
UKIP, south-east, Nigel Farage, Nigel_Farage
UKIP, south-east, Janice Atkinson, JaniceUKIP
UKIP, south-east, Diane James, DianeUKIP
UKIP, south-east, Ray Finch, raymondfinch
UKIP, south-east, Donna Edmunds, DonnaInSussex
UKIP, south-east, Patricia Culligan, CulliganPA
UKIP, south-east, Nigel Jones, 
UKIP, south-east, Alan Stevens, AWAHStevens
UKIP, south-east, Simon Strutt, 
UKIP, south-east, Barry Cooper, waddesdonbaz
UKIP, northern-ireland, Henry Reilly, HenryReillyukip
UKIP, wales, Nathan Gill, NathanGillMEP
UKIP, wales, James Cole, 
UKIP, wales, Caroline Jones, 
UKIP, wales, David Rowlands, 
UKIP, south-west, William Dartmouth, 
UKIP, south-west, Julia Reid, Julia__Reid
UKIP, south-west, Gawain Towler, GawainTowler
UKIP, south-west, Tony McIntyre, 
UKIP, south-west, Robert Smith, 
UKIP, south-west, Keith Crawford, 
Scottish National Party, scotland, Ian Hudghton, hudghtonmepSNP
Scottish National Party, scotland, Alyn Smith, AlynSmithMEP
Scottish National Party, scotland, Tasmina Ahmed-Sheikh, TasminaSheikh
Scottish National Party, scotland, Stephen Gethins, StephenGethins
Scottish National Party, scotland, Toni Giugliano, ToniGiugliano
Scottish National Party, scotland, Chris Stephens, CStephenssnp
Plaid Cymru, wales, Jill Evans, JillEvansMEP
Plaid Cymru, wales, Marc Jones, marcvjones
Plaid Cymru, wales, Stephen Cornelius, 
Plaid Cymru, wales, Ioan Bellin, Ioanbellin
English Democrats, north-east, Kevin Riddiough, kev927riddy
English Democrats, north-east, Sam Kelly, 
English Democrats, north-east, John Lewis, 
English Democrats, yorkshire-and-the-humber, Chris Beverley, chrisbeverley
English Democrats, yorkshire-and-the-humber, David Wildgoose, EnglishGoose
English Democrats, yorkshire-and-the-humber, Ian Sutton, 
English Democrats, yorkshire-and-the-humber, Colin Porter, 
English Democrats, yorkshire-and-the-humber, Tom Redmond, 
English Democrats, yorkshire-and-the-humber, David Allen, 
English Democrats, west-midlands, Derek Hilling, DerekJHilling
English Democrats, west-midlands, Chris Newey, 
English Democrats, west-midlands, Steve Paxton, 
English Democrats, west-midlands, Charles Hayward, 
English Democrats, west-midlands, Margaret Stoll, 
English Democrats, west-midlands, David Lane, 
English Democrats, west-midlands, Fred Bishop, 
English Democrats, north-west, Stephen Morris, SteMorris
English Democrats, north-west, Paul Rimmer, 
English Democrats, north-west, Derek Bullock, 
English Democrats, north-west, Paul Whitelegg, 
English Democrats, north-west, Steve McEllenborough, 
English Democrats, north-west, Laurence Depares, 
English Democrats, north-west, Valerie Morris, ValMorris
English Democrats, north-west, Anthony Backhouse, 
English Democrats, eastern, Robin Tilbrook, RobinTilbrook
English Democrats, eastern, Charles Vickers, charlesvickers
English Democrats, eastern, Stephen Goldspink, 
English Democrats, eastern, Maria Situmbeko, 
English Democrats, eastern, Bridget Cowan, 
English Democrats, eastern, Don Whitbread, 
English Democrats, eastern, Jeremy Moreton-Moss, 
English Democrats, east-midlands, Kevin Sills, KSillsEngDem
English Democrats, east-midlands, Dave Wickham, 
English Democrats, east-midlands, John Dowle, 
English Democrats, east-midlands, Oliver Healey, 
English Democrats, east-midlands, Terry Spencer, 
English Democrats, south-east, Steve Uncles, SteveUncles
English Democrats, south-east, Julia Gasper, 
English Democrats, south-east, Amanda Hopwood, 
English Democrats, south-east, Simone Clarke, 
English Democrats, south-east, Steve Clegg, 
English Democrats, south-east, Milly Uncles, 
English Democrats, south-east, Mike Russell, 
English Democrats, south-east, Mike Tibby, 
English Democrats, south-east, Doreen Dye, 
English Democrats, south-east, William James, 
English Democrats, london, Jenny Knight, jennyknight2014
